,steps,heart_rate,raw_intensity,feeling_rate
23,867,88.11,50.41,4
24,10730,87.16,49.8,4
25,8222,86.96,47.03,4
26,13984,86.84,51.61,4
28,11294,86.93,49.66,4
29,3079,87.89,49.26,3
30,10414,85.9,44.24,4
31,12165,87.19,51.0,4
32,5392,88.18,53.06,4
33,14427,86.65,49.05,4
34,8480,87.94,48.29,3
35,8738,84.51,45.72,4
36,6222,85.87,46.03,4
37,6541,85.42,40.24,2
38,12701,87.79,52.56,3
39,10810,85.91,51.26,3
40,8366,83.2,40.02,3
41,8539,86.52,46.75,4
42,12235,84.63,51.22,4
43,12148,87.94,53.3,3
44,7763,87.15,46.6,4
45,15301,87.3,54.47,4
46,9520,85.53,48.43,4
47,11209,88.96,53.24,4
48,9963,87.9,59.97,4
49,10686,89.62,54.95,4
50,12141,87.07,51.99,4
51,9445,84.73,40.88,4
52,15243,85.3,52.13,4
53,4190,87.1,44.6,4
54,11865,87.05,51.52,4
55,11474,87.35,59.9,4
56,7907,88.55,50.33,4
57,13309,85.49,47.65,4
58,5500,88.55,53.49,4
59,13355,85.26,53.45,4
60,2084,86.4,41.81,4
61,8193,87.76,52.68,4
62,8628,87.21,53.72,4
66,10138,83.85,45.65,4
69,7719,85.2,45.99,4
70,7818,86.55,45.29,4
71,10333,86.74,47.7,4
72,12637,86.56,54.5,4
73,9919,87.42,53.61,5
77,18879,85.51,54.35,4
78,16616,87.38,57.11,4
79,10720,85.18,50.51,4
80,5323,86.5,47.43,4
81,4627,84.53,43.61,4
82,12873,88.87,59.78,4
83,6238,86.92,47.7,2
84,8881,84.66,43.66,3
85,5804,87.2,53.78,3
86,8509,87.5,48.65,4
87,12712,86.64,49.9,4
88,10557,86.47,48.18,3
89,12328,85.19,53.9,4
90,8366,88.42,45.46,4
91,8822,84.14,46.52,4
92,10619,88.31,56.98,4
93,1309,85.37,34.7,4
94,6587,86.16,45.37,4
95,2485,87.61,45.21,4
96,2203,85.54,43.71,3
97,7094,88.54,53.19,3
99,40691,87.8,73.93,5
103,15243,86.61,54.29,5
105,11320,86.1,49.09,4
107,7157,86.75,42.64,3
108,8543,85.38,42.99,3
109,8705,86.64,52.38,2
110,3034,86.39,56.29,3
111,67,87.4,23.18,4
112,5309,97.48,29.91,4
113,8717,88.25,49.47,4
114,11988,88.86,41.93,4
115,874,86.07,22.94,4
116,2273,89.82,25.8,3
117,9496,91.13,39.93,4
118,19817,88.12,55.93,4
119,15061,87.27,48.14,4
120,4807,95.62,39.68,4
121,15864,86.67,44.96,4
122,6195,90.41,31.9,4
123,1184,86.31,24.07,3
124,4104,86.5,32.56,3
125,832,85.9,23.09,4
128,5474,90.69,33.47,4
131,6288,86.07,40.26,5
134,2896,88.32,30.15,1
137,2526,85.13,25.1,4
139,558,84.63,21.97,3
141,1314,85.05,25.66,4
144,1090,87.97,27.91,1
149,4843,83.94,38.81,3
153,108,87.46,25.04,4
161,191,85.54,26.96,4
165,4106,88.3,26.98,4
166,180,92.09,20.6,3
174,0,89.07,25.47,5
176,14590,85.64,53.06,4
177,6379,85.77,42.77,4
178,9632,90.76,48.48,3
179,10477,91.42,43.63,3
180,13607,93.17,47.38,4
181,8775,85.81,49.39,4
182,11531,89.96,45.71,2
183,2961,89.29,39.67,1
184,11318,90.8,46.89,4
185,9962,92.73,40.48,4
186,8354,84.9,45.52,4
187,11443,88.11,51.78,4
188,14180,89.97,48.01,4
189,2013,90.44,37.55,3
190,10727,87.65,49.28,4
191,11360,88.65,51.29,4
193,10831,92.22,50.06,3
194,5000,91.88,38.87,3
195,8850,95.36,48.38,4
196,11107,88.05,60.25,2
197,7081,99.48,35.85,2
198,11154,88.57,49.91,4
199,3611,86.27,35.37,3
200,13293,87.7,51.15,3
201,7914,91.79,44.38,3
202,10038,89.83,50.88,3
203,10599,86.25,49.64,4
204,636,86.2,46.64,4
205,6947,85.5,52.01,4
206,10733,85.91,52.03,4
207,3389,84.19,42.33,4
208,2731,93.42,37.35,3
209,10700,88.08,50.67,3
210,5327,90.0,42.06,4
211,936,85.64,44.79,3
212,9837,89.47,41.06,3
213,9988,90.32,54.77,3
214,3635,84.69,43.56,3
215,6955,88.3,44.67,3
216,8725,86.79,47.97,3
217,8297,89.36,44.84,3
218,1318,92.86,42.1,3
219,4654,87.21,39.21,3
220,5205,87.43,41.81,3
221,7417,86.26,45.08,3
222,9738,88.41,51.97,3
223,4243,87.78,44.54,3
224,7557,93.17,43.35,3
225,1423,93.03,36.93,3
226,14979,89.24,60.05,3
227,12089,87.92,45.96,2
228,8900,90.1,47.24,3
229,9150,95.12,46.63,4
230,9319,87.76,50.18,3
232,9783,90.64,48.57,3
233,8174,86.01,48.48,3
234,6811,87.29,44.66,4
235,4771,91.06,42.98,4
236,12966,89.59,49.02,4
237,15640,87.45,49.07,4
238,15709,92.89,49.82,4
239,1144,88.52,36.34,3
240,12823,86.92,56.65,2
241,8765,90.25,43.52,3
242,7761,88.38,46.08,3
243,3201,92.62,40.61,3
244,5087,94.2,36.05,3
245,4020,85.46,41.92,4
246,2639,96.2,35.78,3
247,8359,88.1,41.28,3
248,9400,89.38,44.36,3
249,4523,88.09,42.27,2
250,13917,94.55,49.89,4
251,2313,96.05,38.8,3
252,2996,91.92,78.56,4
253,12590,86.9,48.99,4
254,4460,84.59,30.51,4
255,6668,84.24,32.68,4
256,2530,86.44,31.69,2
257,4651,84.46,29.53,4
258,3100,87.36,31.64,4
259,616,87.01,22.64,3
260,2025,85.16,30.31,4
261,4587,84.91,29.62,3
262,4494,84.36,30.07,4
263,4082,84.22,30.69,4
264,1208,83.94,27.14,3
265,4449,85.08,31.38,4
266,1852,84.99,30.2,4
267,11706,86.91,43.51,5
268,4665,85.94,28.63,4
269,4551,84.1,29.77,4
270,5075,84.82,29.63,4
272,10857,83.82,37.49,4
273,7569,92.59,43.38,4
274,498,92.99,21.0,3
275,4340,83.46,31.09,4
276,3603,88.22,33.02,3
277,4162,84.18,30.9,4
278,865,87.82,26.9,3
279,4609,84.17,29.97,4
280,2808,88.66,32.01,4
281,945,85.64,26.25,4
282,5243,83.9,30.97,4
283,5656,85.2,34.87,4
284,3953,83.29,29.49,4
285,5595,83.39,30.16,5
286,5038,83.22,31.94,4
287,7094,87.75,35.52,4
288,1428,88.11,30.11,4
289,4834,84.28,29.66,4
290,1738,89.09,31.61,4
291,1572,88.41,28.16,4
292,7315,85.46,29.28,4
293,2644,86.05,29.8,4
294,4285,90.91,38.38,4
295,2106,90.17,34.18,4
296,5180,83.21,32.03,4
297,5072,87.47,28.57,4
298,4116,83.73,29.72,4
299,1051,84.46,26.78,4
300,5725,85.45,32.88,4
301,3403,89.51,38.11,4
302,998,89.53,30.29,4
303,5584,83.92,30.86,4
304,3507,85.93,28.18,4
305,5483,84.79,31.9,4
306,6282,83.17,31.86,4
307,5389,83.26,32.41,4
308,3609,89.41,46.34,3
309,8481,92.16,48.89,4
310,4422,84.89,27.66,4
311,876,88.38,23.29,4
312,5486,84.8,28.1,4
313,4601,85.67,27.95,4
314,4447,86.61,28.93,4
315,9995,89.43,36.57,4
316,1900,87.19,29.2,4
317,3842,83.54,27.69,4
318,8615,88.34,34.33,4
319,4519,83.39,29.45,4
320,2596,88.88,31.21,4
321,5595,88.34,34.16,4
322,2146,87.66,30.75,4
323,1368,87.84,29.25,4
324,4638,84.05,30.62,4
325,2760,86.22,29.58,4
326,6208,88.95,36.3,4
327,4599,83.91,27.52,4
328,4868,84.59,28.24,4
329,2203,93.37,41.44,4
330,16695,85.72,53.09,5
331,12246,88.16,55.52,5
332,10567,87.33,47.19,5
333,12929,86.02,49.88,5
334,3393,88.29,42.94,4
335,11589,90.9,53.06,5
336,11212,88.77,43.66,4
337,5325,90.29,36.09,4
338,8378,89.64,38.5,4
339,12240,89.35,49.75,4
340,9051,91.67,50.81,4
341,14270,86.21,54.87,4
342,7778,89.3,46.43,4
343,9005,89.54,47.15,4
344,11500,86.37,47.68,4
345,4660,90.53,54.93,4
346,11582,87.05,54.64,4
347,7345,86.41,54.54,4
348,2666,88.05,47.68,4
349,3279,86.87,34.82,4
350,8912,89.52,38.28,4
351,831,90.3,26.82,4
352,9448,87.21,41.15,4
353,8331,87.59,46.69,4
354,5523,88.09,46.72,4
355,2607,90.1,41.89,4
357,3483,88.38,39.27,4
358,2856,85.7,36.14,4
360,7081,90.0,52.08,4
364,206,88.09,31.96,4
368,10012,86.26,45.98,4
370,2333,88.97,46.51,4
372,5921,85.66,48.85,4
376,2024,90.22,62.52,4
381,5946,87.8,39.95,4
382,3242,86.77,42.56,4
383,7348,94.38,39.49,4
384,10828,91.24,45.36,4
385,9683,86.4,47.23,4
386,5195,85.33,43.88,4
387,6163,88.27,47.61,5
388,10198,85.82,56.48,4
389,4732,88.56,49.15,4
390,5448,90.13,56.1,4
391,7311,88.63,47.44,4
392,12599,85.5,52.43,5
393,6605,89.6,51.64,4
394,7486,88.39,44.52,4
395,7971,89.02,49.68,4
396,5355,86.08,43.84,4
397,7280,91.05,48.62,4
398,7766,90.63,43.36,5
399,3277,90.55,30.19,4
400,8605,91.36,39.3,5
401,2789,91.84,30.5,3
402,6611,91.2,41.07,4
403,150,86.92,31.41,5
